data,nivel,cadastrados,convertidos
2026-01-01,Aprendiz,800,2
2026-01-02,Aprendiz,786,7
2026-01-03,Aprendiz,721,5
2026-01-04,Aprendiz,701,2
2026-01-04,Especialista,1,1
2026-01-05,Aprendiz,657,6
2026-01-06,Aprendiz,569,0
2026-01-07,Aprendiz,622,4
2026-01-07,Especialista,1,1
2026-01-08,Aprendiz,570,2
2026-01-09,Aprendiz,518,5
2026-01-10,Aprendiz,422,3
2026-01-10,Especialista,1,1
2026-01-11,Aprendiz,464,3
2026-01-12,Aprendiz,489,9
2026-01-13,Aprendiz,524,5
2026-01-14,Aprendiz,512,4
2026-01-15,Aprendiz,438,4
2026-01-16,Aprendiz,445,3
2026-01-16,Empreendedor,1,1
2026-01-17,Aprendiz,431,4
2026-01-17,Especialista,1,1
2026-01-18,Aprendiz,465,4
2026-01-18,Especialista,1,1
2026-01-19,Aprendiz,498,4
2026-01-20,Aprendiz,356,5
2026-01-21,Aprendiz,382,3
2026-01-22,Aprendiz,437,3
2026-01-23,Aprendiz,438,2
2026-01-24,Aprendiz,347,3
2026-01-25,Aprendiz,383,3
2026-01-26,Aprendiz,362,5
2026-01-27,Aprendiz,373,9
2026-01-28,Aprendiz,362,5
2026-01-29,Aprendiz,394,5
2026-01-30,Aprendiz,344,3
2026-01-31,Aprendiz,819,6
2026-02-01,Aprendiz,1097,7
2026-02-02,Aprendiz,829,4
2026-02-03,Aprendiz,748,9
2026-02-04,Aprendiz,665,6
2026-02-05,Aprendiz,673,4
2026-02-06,Aprendiz,524,5
2026-02-07,Aprendiz,497,2
2026-02-08,Aprendiz,470,1
2026-02-09,Aprendiz,490,3
2026-02-10,Aprendiz,491,4
2026-02-10,Especialista,1,1
2026-02-11,Aprendiz,455,2
2026-02-12,Aprendiz,452,3
2026-02-13,Aprendiz,462,3
2026-02-14,Aprendiz,350,3
2026-02-15,Aprendiz,364,0
2026-02-16,Aprendiz,371,3
2026-02-17,Aprendiz,420,9
2026-02-17,Especialista,1,1
2026-02-18,Aprendiz,459,2
2026-02-19,Aprendiz,1355,15
2026-02-20,Aprendiz,1221,12
2026-02-21,Aprendiz,960,6
2026-02-22,Aprendiz,953,7
2026-02-23,Aprendiz,1780,11
2026-02-24,Aprendiz,1062,9
2026-02-25,Aprendiz,804,12
2026-02-26,Aprendiz,1566,14
2026-02-27,Aprendiz,766,9
2026-02-28,Aprendiz,552,7
2026-03-01,Aprendiz,559,8
2026-03-02,Aprendiz,536,5
2026-03-03,Aprendiz,1369,10
2026-03-04,Aprendiz,979,5
2026-03-05,Aprendiz,711,10
2026-03-06,Aprendiz,791,10
2026-03-07,Aprendiz,674,9
2026-03-08,Aprendiz,515,3
2026-03-08,Especialista,1,1
2026-03-09,Aprendiz,541,3
2026-03-10,Aprendiz,455,6
2026-03-11,Aprendiz,668,6
2026-03-12,Aprendiz,568,6
2026-03-13,Aprendiz,602,6
2026-03-14,Aprendiz,449,3
2026-03-15,Aprendiz,379,3
2026-03-16,Aprendiz,487,5
2026-03-17,Aprendiz,520,5
2026-03-18,Aprendiz,480,2
2026-03-19,Aprendiz,466,6
2026-03-20,Aprendiz,396,5
2026-03-21,Aprendiz,371,4
2026-03-22,Aprendiz,350,3
2026-03-23,Aprendiz,443,13
2026-03-23,Especialista,1,1
2026-03-24,Aprendiz,409,5
2026-03-25,Aprendiz,396,8
2026-03-26,Aprendiz,397,10
2026-03-27,Aprendiz,595,4
2026-03-28,Aprendiz,365,8
2026-03-29,Aprendiz,328,5
2026-03-30,Aprendiz,365,7
2026-03-31,Aprendiz,1008,13
2026-04-01,Aprendiz,836,15
2026-04-02,Aprendiz,531,4
2026-04-03,Aprendiz,567,6
2026-04-04,Aprendiz,531,2
2026-04-05,Aprendiz,405,1
2026-04-06,Aprendiz,518,5
2026-04-07,Aprendiz,701,8
2026-04-08,Aprendiz,434,5
2026-04-09,Aprendiz,450,5
2026-04-10,Aprendiz,263,4
2026-04-11,Aprendiz,370,3
2026-04-12,Aprendiz,286,4
2026-04-13,Aprendiz,291,3
2026-04-14,Aprendiz,257,1
2026-04-15,Aprendiz,460,4
