data,visitas
2026-01-01,19061
2026-01-02,14116
2026-01-03,11213
2026-01-04,11531
2026-01-05,11552
2026-01-06,9560
2026-01-07,9236
2026-01-08,8838
2026-01-09,7445
2026-01-10,6395
2026-01-11,6313
2026-01-12,6650
2026-01-13,6627
2026-01-14,6392
2026-01-15,5942
2026-01-16,5859
2026-01-17,5706
2026-01-18,5758
2026-01-19,6042
2026-01-20,4821
2026-01-21,5104
2026-01-22,5484
2026-01-23,5512
2026-01-24,4007
2026-01-25,4594
2026-01-26,4640
2026-01-27,4677
2026-01-28,4079
2026-01-29,5207
2026-01-30,4859
2026-01-31,15731
2026-02-01,21075
2026-02-02,13944
2026-02-03,11247
2026-02-04,12557
2026-02-05,12546
2026-02-06,9411
2026-02-07,8094
2026-02-08,7568
2026-02-09,7773
2026-02-10,6271
2026-02-11,6487
2026-02-12,6038
2026-02-13,6519
2026-02-14,5217
2026-02-15,4782
2026-02-16,4923
2026-02-17,5312
2026-02-18,5471
2026-02-19,12336
2026-02-20,11776
2026-02-21,9709
2026-02-22,9618
2026-02-23,15827
2026-02-24,10939
2026-02-25,10259
2026-02-26,21733
2026-02-27,10095
2026-02-28,8420
2026-03-01,6863
2026-03-02,6819
2026-03-03,25378
2026-03-04,20268
2026-03-05,12905
2026-03-06,15719
2026-03-07,14311
2026-03-08,10525
2026-03-09,8861
2026-03-10,5419
2026-03-11,11277
2026-03-12,8517
2026-03-13,9892
2026-03-14,6716
2026-03-15,5926
2026-03-16,7203
2026-03-17,7293
2026-03-18,7019
2026-03-19,6279
2026-03-20,6078
2026-03-21,5316
2026-03-22,4884
2026-03-23,6041
2026-03-24,5788
2026-03-25,5683
2026-03-26,5200
2026-03-27,10245
2026-03-28,5336
2026-03-29,4059
2026-03-30,4640
2026-03-31,20001
2026-04-01,17752
2026-04-02,9461
2026-04-03,10925
2026-04-04,12344
2026-04-05,7629
2026-04-06,9684
2026-04-07,12135
2026-04-08,10302
2026-04-09,10160
2026-04-10,5815
2026-04-11,7880
2026-04-12,6868
2026-04-13,4709
2026-04-14,4149
2026-04-15,12816
2026-04-16,6755
2026-04-17,4630
2026-04-18,4192
2026-04-19,5515
2026-04-20,5911
2026-04-21,5207
2026-04-22,5828
2026-04-23,5589
2026-04-24,5342
2026-04-25,4580
2026-04-26,4223
2026-04-27,4915
2026-04-28,6223
2026-04-29,3861
2026-04-30,3857
2026-05-01,7814
2026-05-02,5318
2026-05-03,3502
2026-05-04,2895
2026-05-05,2655
2026-05-06,2644
2026-05-07,2637
2026-05-08,2480
2026-05-09,1863
2026-05-10,1493
2026-05-11,2495
2026-05-12,2880
2026-05-13,2499
2026-05-14,2259
2026-05-15,2102
2026-05-16,1838
2026-05-17,1607
2026-05-18,2363
2026-05-19,2347
2026-05-20,2467
