nivel,data,tpv_m0,tpv_m1,tpv_total
Aprendiz,2026-01-01,5139,0,5139
Empreendedor,2026-01-01,13047,0,13047
Especialista,2026-01-01,2600,0,2600
Top Empreendedor,2026-01-01,24910,0,24910
Aprendiz,2026-01-02,34332,0,34332
Empreendedor,2026-01-02,13421,0,13421
Especialista,2026-01-02,13425,0,13425
Top Empreendedor,2026-01-02,28931,0,28931
Aprendiz,2026-01-03,26948,0,26948
Empreendedor,2026-01-03,6681,0,6681
Especialista,2026-01-03,10160,0,10160
Top Empreendedor,2026-01-03,22594,0,22594
Aprendiz,2026-01-04,38466,0,38466
Empreendedor,2026-01-04,10129,0,10129
Especialista,2026-01-04,7921,0,7921
Top Empreendedor,2026-01-04,11920,0,11920
Aprendiz,2026-01-05,55272,0,55272
Empreendedor,2026-01-05,29039,0,29039
Especialista,2026-01-05,19754,0,19754
Top Empreendedor,2026-01-05,17604,0,17604
Aprendiz,2026-01-06,88951,0,88951
Empreendedor,2026-01-06,19963,0,19963
Especialista,2026-01-06,51882,0,51882
Top Empreendedor,2026-01-06,58710,0,58710
Aprendiz,2026-01-07,141393,0,141393
Empreendedor,2026-01-07,47461,0,47461
Especialista,2026-01-07,36649,0,36649
Top Empreendedor,2026-01-07,114288,0,114288
Aprendiz,2026-01-08,123235,0,123235
Empreendedor,2026-01-08,40174,0,40174
Especialista,2026-01-08,59065,0,59065
Top Empreendedor,2026-01-08,123938,0,123938
Aprendiz,2026-01-09,157635,0,157635
Empreendedor,2026-01-09,80650,0,80650
Especialista,2026-01-09,70964,0,70964
Top Empreendedor,2026-01-09,155683,0,155683
Aprendiz,2026-01-10,179882,0,179882
Empreendedor,2026-01-10,87373,0,87373
Especialista,2026-01-10,85833,0,85833
Top Empreendedor,2026-01-10,189022,0,189022
Aprendiz,2026-01-11,142515,0,142515
Empreendedor,2026-01-11,67214,0,67214
Especialista,2026-01-11,61427,0,61427
Top Empreendedor,2026-01-11,166535,0,166535
Aprendiz,2026-01-12,173462,0,173462
Empreendedor,2026-01-12,46166,0,46166
Especialista,2026-01-12,72217,0,72217
Top Empreendedor,2026-01-12,155777,0,155777
Aprendiz,2026-01-13,190469,0,190469
Empreendedor,2026-01-13,86809,0,86809
Especialista,2026-01-13,98389,0,98389
Top Empreendedor,2026-01-13,155820,0,155820
Aprendiz,2026-01-14,173634,0,173634
Empreendedor,2026-01-14,138655,0,138655
Especialista,2026-01-14,62328,0,62328
Top Empreendedor,2026-01-14,169668,0,169668
Aprendiz,2026-01-15,203298,0,203298
Empreendedor,2026-01-15,122667,0,122667
Especialista,2026-01-15,105664,0,105664
Top Empreendedor,2026-01-15,218689,0,218689
Aprendiz,2026-01-16,233613,0,233613
Empreendedor,2026-01-16,145139,0,145139
Especialista,2026-01-16,112341,0,112341
Top Empreendedor,2026-01-16,220735,0,220735
Aprendiz,2026-01-17,218380,0,218380
Empreendedor,2026-01-17,129067,0,129067
Especialista,2026-01-17,119012,0,119012
Top Empreendedor,2026-01-17,299636,0,299636
Aprendiz,2026-01-18,162049,0,162049
Empreendedor,2026-01-18,104339,0,104339
Especialista,2026-01-18,93385,0,93385
Top Empreendedor,2026-01-18,236266,0,236266
Aprendiz,2026-01-19,240563,0,240563
Empreendedor,2026-01-19,94040,0,94040
Especialista,2026-01-19,86902,0,86902
Top Empreendedor,2026-01-19,168139,0,168139
Aprendiz,2026-01-20,230253,0,230253
Empreendedor,2026-01-20,113985,0,113985
Especialista,2026-01-20,139738,0,139738
Top Empreendedor,2026-01-20,224754,0,224754
Aprendiz,2026-01-21,213642,0,213642
Empreendedor,2026-01-21,121309,0,121309
Especialista,2026-01-21,134503,0,134503
Top Empreendedor,2026-01-21,224425,0,224425
Aprendiz,2026-01-22,259219,0,259219
Empreendedor,2026-01-22,116973,0,116973
Especialista,2026-01-22,139835,0,139835
Top Empreendedor,2026-01-22,240578,0,240578
Aprendiz,2026-01-23,315778,0,315778
Empreendedor,2026-01-23,177657,0,177657
Especialista,2026-01-23,146294,0,146294
Top Empreendedor,2026-01-23,371874,0,371874
Aprendiz,2026-01-24,281393,0,281393
Empreendedor,2026-01-24,182672,0,182672
Especialista,2026-01-24,164183,0,164183
Top Empreendedor,2026-01-24,439761,0,439761
Aprendiz,2026-01-25,196158,0,196158
Empreendedor,2026-01-25,141098,0,141098
Especialista,2026-01-25,123278,0,123278
Top Empreendedor,2026-01-25,311796,0,311796
Aprendiz,2026-01-26,212533,0,212533
Empreendedor,2026-01-26,142875,0,142875
Especialista,2026-01-26,112738,0,112738
Top Empreendedor,2026-01-26,268553,0,268553
Aprendiz,2026-01-27,229718,0,229718
Empreendedor,2026-01-27,140350,0,140350
Especialista,2026-01-27,142196,0,142196
Top Empreendedor,2026-01-27,292382,0,292382
Aprendiz,2026-01-28,280007,0,280007
Empreendedor,2026-01-28,134904,0,134904
Especialista,2026-01-28,148788,0,148788
Top Empreendedor,2026-01-28,342651,0,342651
Aprendiz,2026-01-29,278770,0,278770
Empreendedor,2026-01-29,145153,0,145153
Especialista,2026-01-29,158794,0,158794
Top Empreendedor,2026-01-29,342762,0,342762
Aprendiz,2026-01-30,376217,0,376217
Empreendedor,2026-01-30,194728,0,194728
Especialista,2026-01-30,251211,0,251211
Top Empreendedor,2026-01-30,512305,0,512305
Aprendiz,2026-01-31,386903,0,386903
Empreendedor,2026-01-31,245325,0,245325
Especialista,2026-01-31,217413,0,217413
Top Empreendedor,2026-01-31,587725,0,587725
Aprendiz,2026-02-01,15827,238293,254120
Empreendedor,2026-02-01,22807,164856,187663
Especialista,2026-02-01,10728,161848,172577
Top Empreendedor,2026-02-01,4384,449748,454132
Aprendiz,2026-02-02,98476,291065,389541
Empreendedor,2026-02-02,4968,131259,136227
Especialista,2026-02-02,8172,141904,150075
Top Empreendedor,2026-02-02,8817,396468,405286
Aprendiz,2026-02-03,54335,285830,340165
Empreendedor,2026-02-03,10773,135798,146570
Especialista,2026-02-03,22738,122003,144741
Top Empreendedor,2026-02-03,34375,357204,391579
Aprendiz,2026-02-04,53528,270229,323757
Empreendedor,2026-02-04,22296,116935,139231
Especialista,2026-02-04,41230,176710,217941
Top Empreendedor,2026-02-04,60838,345142,405980
Aprendiz,2026-02-05,85956,317294,403250
Empreendedor,2026-02-05,30894,150210,181105
Especialista,2026-02-05,72696,158191,230886
Top Empreendedor,2026-02-05,71263,396373,467636
Aprendiz,2026-02-06,171107,434787,605893
Empreendedor,2026-02-06,49873,185892,235765
Especialista,2026-02-06,130095,193044,323139
Top Empreendedor,2026-02-06,137846,533048,670894
Aprendiz,2026-02-07,134411,424229,558640
Empreendedor,2026-02-07,60542,226903,287445
Especialista,2026-02-07,106480,222924,329404
Top Empreendedor,2026-02-07,146106,607848,753954
Aprendiz,2026-02-08,143307,230091,373398
