data,perfil,cadastrados,com_primeira_compra
2026-04-08,Especialista,9,0
2026-04-08,Iniciante,65,0
2026-04-08,Intermediario,16,1
2026-04-09,Especialista,19,2
2026-04-09,Iniciante,132,1
2026-04-09,Intermediario,26,0
2026-04-10,Especialista,7,1
2026-04-10,Iniciante,78,2
2026-04-10,Intermediario,33,1
2026-04-11,Especialista,13,0
2026-04-11,Iniciante,122,3
2026-04-11,Intermediario,25,0
2026-04-12,Especialista,9,0
2026-04-12,Iniciante,101,1
2026-04-12,Intermediario,21,1
2026-04-13,Especialista,9,0
2026-04-13,Iniciante,92,3
2026-04-13,Intermediario,32,1
2026-04-14,Especialista,16,0
2026-04-14,Iniciante,105,1
2026-04-14,Intermediario,32,1
2026-04-15,Especialista,34,1
2026-04-15,Iniciante,312,3
2026-04-15,Intermediario,74,1
2026-04-16,Especialista,19,0
2026-04-16,Iniciante,244,3
2026-04-16,Intermediario,71,0
2026-04-17,Especialista,14,0
2026-04-17,Iniciante,177,0
2026-04-17,Intermediario,43,0
2026-04-18,Especialista,15,0
2026-04-18,Iniciante,171,1
2026-04-18,Intermediario,32,2
2026-04-19,Especialista,14,0
2026-04-19,Iniciante,185,0
2026-04-19,Intermediario,37,0
2026-04-20,Especialista,12,0
2026-04-20,Iniciante,193,0
2026-04-20,Intermediario,39,0
2026-04-21,Especialista,19,0
2026-04-21,Iniciante,189,3
2026-04-21,Intermediario,29,0
2026-04-22,Especialista,28,1
2026-04-22,Iniciante,192,1
2026-04-22,Intermediario,44,0
2026-04-23,Especialista,21,1
2026-04-23,Iniciante,166,2
2026-04-23,Intermediario,51,1
2026-04-24,Especialista,24,1
2026-04-24,Iniciante,184,2
2026-04-24,Intermediario,42,1
2026-04-25,Especialista,23,0
2026-04-25,Iniciante,167,2
2026-04-25,Intermediario,49,0
2026-04-26,Especialista,18,0
2026-04-26,Iniciante,133,1
2026-04-26,Intermediario,38,1
2026-04-27,Especialista,23,0
2026-04-27,Iniciante,167,2
2026-04-27,Intermediario,38,0
2026-04-28,Especialista,11,2
2026-04-28,Iniciante,172,1
2026-04-28,Intermediario,41,0
2026-04-29,Especialista,13,0
2026-04-29,Iniciante,157,3
2026-04-29,Intermediario,29,2
2026-04-30,Especialista,17,0
2026-04-30,Iniciante,131,0
2026-04-30,Intermediario,25,0
2026-05-01,Especialista,17,0
2026-05-01,Iniciante,161,1
2026-05-01,Intermediario,44,1
2026-05-02,Especialista,16,1
2026-05-02,Iniciante,117,0
2026-05-02,Intermediario,24,0
2026-05-03,Especialista,17,0
2026-05-03,Iniciante,117,0
2026-05-03,Intermediario,28,0
2026-05-04,Especialista,15,0
2026-05-04,Iniciante,117,2
2026-05-04,Intermediario,31,1
2026-05-05,Especialista,15,1
2026-05-05,Iniciante,121,0
2026-05-05,Intermediario,33,0
2026-05-06,Especialista,18,3
2026-05-06,Iniciante,121,3
2026-05-06,Intermediario,28,2
2026-05-07,Especialista,8,0
2026-05-07,Iniciante,83,1
2026-05-07,Intermediario,31,1
2026-05-08,Especialista,13,0
2026-05-08,Iniciante,119,2
2026-05-08,Intermediario,36,0
2026-05-09,Especialista,8,0
2026-05-09,Iniciante,59,0
2026-05-09,Intermediario,13,0
2026-05-10,Especialista,6,0
2026-05-10,Iniciante,59,0
2026-05-10,Intermediario,10,0
2026-05-11,Especialista,3,0
2026-05-11,Iniciante,22,0
2026-05-11,Intermediario,5,0
2026-05-12,Especialista,1,0
2026-05-12,Iniciante,30,0
2026-05-12,Intermediario,7,0
2026-05-13,Especialista,4,0
2026-05-13,Iniciante,44,0
2026-05-13,Intermediario,9,0
2026-05-14,Especialista,4,0
2026-05-14,Iniciante,24,0
2026-05-14,Intermediario,6,0
2026-05-15,Especialista,1,0
2026-05-15,Iniciante,23,0
2026-05-15,Intermediario,6,0
